fnce30012 fintech|09/08/2021 12:00:00|32400
info20003 database sys|09/08/2021 12:00:00|36000
econ30022 exp econ|09/08/2021 12:00:00|25200
econ30002 econ dev|09/08/2021 12:00:00|10800
stargazing|09/08/2021 12:00:00|144000
stargazing|12/08/2021 12:00:00|5400
econ30002 econ dev|12/08/2021 20:54:40|3600.05410861969
econ30002 econ dev|12/08/2021 21:54:49|3078.57786154747
info20003 database sys|13/08/2021 10:00:11|3600.2653470039368
econ30002 econ dev|13/08/2021 11:02:51|3600.1218955516815
econ30002 econ dev|13/08/2021 12:32:12|1909.036777973175
stargazing|13/08/2021 13:15:31|908.49340796470642
stargazing|13/08/2021 14:19:26|1261.3376760482788
stargazing|13/08/2021 14:19:26|900.3376760482788
misc|13/08/2021 12:00:00|1800
fnce30012 fintech|13/08/2021 16:35:45|14.032378911972046
stargazing|13/08/2021 16:41:31|4000.1022400856018
stargazing|13/08/2021 17:13:42|198.71679973602295
misc|13/08/2021 17:31:29|2400.308149576187
misc|13/08/2021 18:11:54|1063.3864221572876
misc|13/08/2021 19:28:52|797.6805300712585
misc|13/08/2021 20:09:45|115.10892534255981
misc|13/08/2021 20:11:43|1.91843581199646
work & internships|13/08/2021 20:15:05|658.4464633464813
